file,sheet,formula_count
Cisco Unit List Price_240426.xlsx,Cisco,2100
Cisco Unit List Price_240426.xlsx,AP,2077
Cisco Unit List Price_240426.xlsx,C8000_secure,1290
Cisco Unit List Price_240426.xlsx,ISR1000,1092
Devices Specs_240426.xlsx,Cisco,1285
Devices Specs_240426.xlsx,AllListPrice,563
Devices Specs_240426.xlsx,SwitchCampus,498
Devices Specs_240426.xlsx,AllDevices,224
Devices Specs_240426.xlsx,Router,161
Devices Specs_240426.xlsx,ModularSwitch,105
Devices Specs_240426.xlsx,WiFi,65
Devices Specs_240426.xlsx,SFP,27
Devices Specs_240426.xlsx,Juniper,16
