file,sheet,cell,value,is_formula
Cisco Unit List Price_240426.xlsx,Cisco,A1,"=IFERROR(__xludf.DUMMYFUNCTION(""{""""Devices"""",""""List Price"""";
 VSTACK(
   HSTACK(
     ARRAYFORMULA(REGEXREPLACE(
       FILTER('C8000'!B:B, REGEXMATCH(TO_TEXT('C8000'!A:A), """"^\d+(\.0)?$"""")),
       """"-A$"""",""""""""
     )),
     FILTER('C8000'!N:N, TRIM('C8000'!M:M)=""""SubTotal"""")
   ),
   ""&""HSTACK(
     ARRAYFORMULA(REGEXREPLACE(
       FILTER('C9200'!B:B, REGEXMATCH(TO_TEXT('C9200'!A:A), """"^\d+(\.0)?$"""")),
       """"-A$"""",""""""""
     )),
     FILTER('C9200'!N:N, TRIM('C9200'!M:M)=""""SubTotal"""")
   ), 
   HSTACK(
     ARRAYFORMULA(REGEXREPLACE(
""&""       FILTER('C9300'!B:B, REGEXMATCH(TO_TEXT('C9300'!A:A), """"^\d+(\.0)?$"""")),
       """"-A$"""",""""""""
     )),
     FILTER('C9300'!N:N, TRIM('C9300'!M:M)=""""SubTotal"""")
   ), 
   HSTACK(
     ARRAYFORMULA(REGEXREPLACE(
       FILTER('C1300'!B:B, REGEXMATCH(TO""&""_TEXT('C1300'!A:A), """"^\d+(\.0)?$"""")),
       """"-A$"""",""""""""
     )),
     FILTER('C1300'!N:N, TRIM('C1300'!M:M)=""""SubTotal"""")
   ), 
   HSTACK(
     ARRAYFORMULA(REGEXREPLACE(
       FILTER('C9500'!B:B, REGEXMATCH(TO_TEXT('C9500'!A:A), """"^\d+(\.0)?$"""")),
 ""&""      """"-A$"""",""""""""
     )),
     FILTER('C9500'!N:N, TRIM('C9500'!M:M)=""""SubTotal"""")
   ),
   HSTACK(
     ARRAYFORMULA(REGEXREPLACE(
       FILTER(ACI!B:B, REGEXMATCH(TO_TEXT(ACI!A:A), """"^\d+(\.0)?$"""")),
       """"-A$"""",""""""""
     )),
     FILTER(ACI!N:N, ""&""TRIM(ACI!M:M)=""""SubTotal"""")
   ), 
   HSTACK(
     ARRAYFORMULA(REGEXREPLACE(
       FILTER('ISR1000'!B:B, REGEXMATCH(TO_TEXT('ISR1000'!A:A), """"^\d+(\.0)?$"""")),
       """"-A$"""",""""""""
     )),
     FILTER('ISR1000'!N:N, TRIM('ISR1000'!M:M)=""""SubTotal"""")
   )""&"", 
   HSTACK(
     ARRAYFORMULA(REGEXREPLACE(
       FILTER('C8000_secure'!B:B, REGEXMATCH(TO_TEXT('C8000_secure'!A:A), """"^\d+(\.0)?$"""")),
       """"-A$"""",""""""""
     )),
     FILTER('C8000_secure'!N:N, TRIM('C8000_secure'!M:M)=""""SubTotal"""")
   ),
   HSTACK(""&""
     ARRAYFORMULA(REGEXREPLACE(
       FILTER(SFP!B:B, REGEXMATCH(TO_TEXT(SFP!A:A), """"^\d+(\.0)?$"""")),
       """"-A$"""",""""""""
     )),
     FILTER(SFP!N:N, TRIM(SFP!M:M)=""""SubTotal"""")
   ),
   HSTACK(
     ARRAYFORMULA(REGEXREPLACE(
       FILTER(AP!B:B, RE""&""GEXMATCH(TO_TEXT(AP!A:A), """"^\d+(\.0)?$"""")),
       """"-A$"""",""""""""
     )),
     FILTER(AP!N:N, TRIM(AP!M:M)=""""SubTotal"""")
   )
 )
}
""),""Devices"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B1,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""List Price"")",True
Cisco Unit List Price_240426.xlsx,Cisco,A2,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8200L-1N-4T"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B2,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),20055.59)",True
Cisco Unit List Price_240426.xlsx,Cisco,C2,"=IFERROR(__xludf.DUMMYFUNCTION(""IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1ZF-QDGfmo_fBzzZWWfaYOCy9-vh0mMaR1tyOWyJgUt4/edit?gid=2020288373#gid=2020288373"""",""""Cisco!C2:C1000"""")""),18000.0)",True
Cisco Unit List Price_240426.xlsx,Cisco,D2,"=if(C2="""",B2,C2)",True
Cisco Unit List Price_240426.xlsx,Cisco,A3,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8200-1N-4T"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B3,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),26751.42)",True
Cisco Unit List Price_240426.xlsx,Cisco,C3,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),15000.0)",True
Cisco Unit List Price_240426.xlsx,Cisco,D3,"=if(C3="""",B3,C3)",True
Cisco Unit List Price_240426.xlsx,Cisco,A4,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8300-2N2S-4T2X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B4,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),87564.41)",True
Cisco Unit List Price_240426.xlsx,Cisco,D4,"=if(C4="""",B4,C4)",True
Cisco Unit List Price_240426.xlsx,Cisco,A5,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8300-1N1S-4T2X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B5,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),71768.03)",True
Cisco Unit List Price_240426.xlsx,Cisco,D5,"=if(C5="""",B5,C5)",True
Cisco Unit List Price_240426.xlsx,Cisco,A6,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8300-2N2S-6T"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B6,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),46344.92)",True
Cisco Unit List Price_240426.xlsx,Cisco,D6,"=if(C6="""",B6,C6)",True
Cisco Unit List Price_240426.xlsx,Cisco,A7,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8300-1N1S-6T"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B7,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),36965.33)",True
Cisco Unit List Price_240426.xlsx,Cisco,D7,"=if(C7="""",B7,C7)",True
Cisco Unit List Price_240426.xlsx,Cisco,A8,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8500-20X6C"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B8,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),534067.23)",True
Cisco Unit List Price_240426.xlsx,Cisco,D8,"=if(C8="""",B8,C8)",True
Cisco Unit List Price_240426.xlsx,Cisco,A9,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8500-12X4QC"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B9,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),284449.0)",True
Cisco Unit List Price_240426.xlsx,Cisco,D9,"=if(C9="""",B9,C9)",True
Cisco Unit List Price_240426.xlsx,Cisco,A10,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C8500-12X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B10,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),198921.55)",True
Cisco Unit List Price_240426.xlsx,Cisco,D10,"=if(C10="""",B10,C10)",True
